WARMING UP...
Loading checkpoint weights from: /DATA/Documents/ai_controlled_car/src/ai_car_control/weights/simple_train.cnn.weights.499.h5....
---> SUCCESS
MODEL BUILDED...
steering --> [[94.947395]]
steering --> [[105.34555]]
steering --> [[108.167725]]
steering --> [[104.33034]]
steering --> [[108.216255]]
steering --> [[103.20106]]
steering --> [[89.62482]]
steering --> [[90.43639]]
steering --> [[87.22902]]
steering --> [[88.41428]]
steering --> [[85.93398]]
steering --> [[87.24335]]
steering --> [[87.247955]]
steering --> [[79.48961]]
steering --> [[87.253044]]
steering --> [[89.57879]]
steering --> [[86.380035]]
steering --> [[86.64953]]
steering --> [[91.09808]]
steering --> [[89.32709]]
steering --> [[93.53896]]
steering --> [[89.43931]]
steering --> [[86.808464]]
steering --> [[87.32669]]
steering --> [[88.75812]]
steering --> [[97.1086]]
steering --> [[89.52923]]
steering --> [[79.01205]]
steering --> [[71.94505]]
steering --> [[83.188545]]
steering --> [[78.10349]]
steering --> [[87.977875]]
steering --> [[74.611755]]
steering --> [[79.10397]]
steering --> [[82.73334]]
steering --> [[93.27041]]
steering --> [[94.91099]]
steering --> [[98.20654]]
steering --> [[87.34466]]
steering --> [[96.095955]]
steering --> [[99.700714]]
steering --> [[92.577324]]
steering --> [[92.007835]]
steering --> [[85.91418]]
steering --> [[84.34515]]
steering --> [[86.126305]]
steering --> [[87.17887]]
steering --> [[87.65884]]
steering --> [[83.2363]]
steering --> [[95.20705]]
steering --> [[83.70257]]
steering --> [[74.55723]]
steering --> [[71.34357]]
steering --> [[72.41173]]
steering --> [[51.067566]]
steering --> [[58.598766]]
steering --> [[74.43672]]
steering --> [[73.97493]]
steering --> [[85.15693]]
steering --> [[88.75358]]
steering --> [[86.82819]]
steering --> [[82.32603]]
steering --> [[84.52469]]
steering --> [[83.472466]]
steering --> [[81.25877]]
steering --> [[83.63447]]
steering --> [[83.58083]]
steering --> [[85.513985]]
steering --> [[88.05409]]
steering --> [[84.997505]]
steering --> [[86.352425]]
steering --> [[83.46454]]
steering --> [[78.496574]]
steering --> [[76.61607]]
steering --> [[81.2102]]
steering --> [[84.61414]]
steering --> [[80.84536]]
steering --> [[78.82424]]
steering --> [[90.02956]]
steering --> [[81.45519]]
steering --> [[73.75631]]
steering --> [[77.35538]]
steering --> [[79.297134]]
steering --> [[79.0429]]
steering --> [[82.91096]]
steering --> [[82.65624]]
steering --> [[84.700966]]
steering --> [[82.37174]]
steering --> [[85.010925]]
steering --> [[81.0778]]
steering --> [[86.6758]]
steering --> [[96.6555]]
steering --> [[94.50909]]
steering --> [[91.39167]]
steering --> [[92.70634]]
steering --> [[98.13987]]
steering --> [[101.67487]]
steering --> [[98.636444]]
steering --> [[100.59222]]
steering --> [[98.79352]]
steering --> [[79.16119]]
steering --> [[82.75772]]
steering --> [[84.82299]]
steering --> [[76.650665]]
steering --> [[72.33072]]
steering --> [[60.79359]]
steering --> [[72.4191]]
steering --> [[63.53011]]
steering --> [[65.25811]]
steering --> [[81.41337]]
steering --> [[83.37562]]
steering --> [[95.1142]]
steering --> [[95.95303]]
steering --> [[89.25053]]
steering --> [[86.75592]]
steering --> [[89.27775]]
steering --> [[81.88637]]
steering --> [[83.71598]]
steering --> [[96.82492]]
steering --> [[104.89113]]
steering --> [[103.01885]]
steering --> [[82.52352]]
steering --> [[83.74173]]
steering --> [[87.666954]]
steering --> [[84.10361]]
steering --> [[93.28851]]
steering --> [[90.201935]]
steering --> [[103.568665]]
steering --> [[90.21521]]
steering --> [[79.616844]]
steering --> [[76.66734]]
steering --> [[77.51176]]
steering --> [[85.19275]]
steering --> [[87.63733]]
steering --> [[80.12404]]
steering --> [[79.25077]]
steering --> [[73.789894]]
steering --> [[84.6164]]
steering --> [[82.68191]]
steering --> [[84.66657]]
steering --> [[81.32022]]
steering --> [[82.83206]]
steering --> [[80.77035]]
steering --> [[80.53554]]
steering --> [[78.815895]]
steering --> [[86.64918]]
steering --> [[88.43557]]
steering --> [[93.212]]
steering --> [[87.97115]]
steering --> [[75.0302]]
steering --> [[75.8678]]
steering --> [[78.44682]]
steering --> [[85.302895]]
steering --> [[81.59494]]
steering --> [[78.92506]]
steering --> [[77.63139]]
steering --> [[77.31226]]
steering --> [[79.537575]]
steering --> [[79.68576]]
steering --> [[74.06167]]
steering --> [[79.72153]]
steering --> [[81.459656]]
steering --> [[86.95053]]
steering --> [[85.724174]]
steering --> [[77.080505]]
steering --> [[81.878]]
steering --> [[79.52984]]
steering --> [[82.80808]]
steering --> [[85.88384]]
steering --> [[85.38237]]
steering --> [[83.50122]]
steering --> [[89.06469]]
steering --> [[85.656265]]
steering --> [[86.174324]]
steering --> [[89.3063]]
steering --> [[82.32434]]
steering --> [[76.555664]]
steering --> [[84.87055]]
steering --> [[83.56682]]
steering --> [[82.08801]]
steering --> [[79.81144]]
steering --> [[80.91788]]
steering --> [[90.518074]]
steering --> [[70.65443]]
steering --> [[69.69227]]
steering --> [[77.96073]]
steering --> [[80.84793]]
steering --> [[83.89456]]
steering --> [[88.76857]]
steering --> [[95.10867]]
steering --> [[81.993324]]
steering --> [[92.91417]]
steering --> [[101.32041]]
steering --> [[88.63258]]
steering --> [[88.4721]]
steering --> [[85.934166]]
steering --> [[84.51217]]
steering --> [[85.90549]]
steering --> [[89.25596]]
steering --> [[86.06918]]
steering --> [[84.187386]]
steering --> [[85.38992]]
steering --> [[90.243]]
steering --> [[89.45446]]
steering --> [[88.60328]]
steering --> [[80.95183]]
steering --> [[77.547714]]
steering --> [[85.38044]]
steering --> [[74.469376]]
steering --> [[79.16564]]
steering --> [[87.04984]]
steering --> [[93.00549]]
steering --> [[99.33736]]
steering --> [[91.1891]]
steering --> [[91.170845]]
steering --> [[87.72609]]
steering --> [[89.03734]]
steering --> [[82.5916]]
steering --> [[79.872696]]
steering --> [[80.28107]]
steering --> [[66.741425]]
steering --> [[77.82705]]
steering --> [[83.893585]]
steering --> [[92.76493]]
steering --> [[85.044235]]
steering --> [[91.43401]]
steering --> [[102.93325]]
steering --> [[106.03454]]
steering --> [[97.403854]]
steering --> [[97.49458]]
steering --> [[71.36595]]
steering --> [[61.832676]]
steering --> [[62.7503]]
steering --> [[54.84108]]
steering --> [[75.6742]]
steering --> [[81.47437]]
steering --> [[83.31819]]
steering --> [[72.32597]]
steering --> [[89.24921]]
steering --> [[78.56204]]
steering --> [[71.42858]]
steering --> [[77.73369]]
steering --> [[67.32567]]
steering --> [[82.96446]]
steering --> [[69.98552]]
steering --> [[70.545265]]
steering --> [[76.85824]]
steering --> [[82.664566]]
steering --> [[60.37014]]
steering --> [[59.08162]]
steering --> [[72.77717]]
steering --> [[83.13296]]
steering --> [[79.305]]
steering --> [[76.89675]]
steering --> [[73.98642]]
steering --> [[71.819756]]
steering --> [[70.52856]]
steering --> [[80.161575]]
steering --> [[80.413795]]
steering --> [[79.594696]]
steering --> [[86.368515]]
